code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
600410,华胜天成,2026-04-24,27.19,,PASS,20,2835079432.9309,回踩白线B,19.912019,29.994559,27.311091,25.66276,27.577083,43.382353,63.927856,9.1119,1.1991,False
600010,包钢股份,2026-04-24,2.74,,PASS,67,1656481945.402,超卖缩量B,-0.854231,17.846009,2.806351,2.733611,2.805729,20.0,53.846154,2.2222,1.083,False
601872,招商轮船,2026-04-24,17.43,,PASS,72,1621305042.1979,超卖缩量B,10.986807,16.544368,18.479743,16.42768,18.176667,50.0,33.780761,4.142,0.5137,False
603259,药明康德,2026-04-24,100.08,,PASS,81,1533555760.653,超卖缩量B,5.953137,44.179105,101.527581,98.904135,100.650729,94.68599,48.156682,3.0827,0.1098,False
600988,赤峰黄金,2026-04-24,40.69,,PASS,136,1120376785.3916,回踩黄线B,12.932142,10.411174,43.486814,41.013634,42.715833,30.874317,37.721755,4.0445,1.1659,False
603881,数据港,2026-04-24,37.92,,PASS,150,1063327086.6507,回踩黄线B,5.519238,28.266103,39.19754,37.984676,39.057917,39.338235,35.802469,5.0204,2.2932,False
300065,海兰信,2026-04-24,25.29,,PASS,166,991657265.6111,超卖缩量B,10.395936,18.643111,25.625802,24.70649,25.856562,55.434783,52.227343,6.3865,1.5953,False
600602,云赛智联,2026-04-24,22.22,,PASS,199,903930138.2927,回踩黄线B,1.156694,15.502693,23.580632,22.387025,23.252292,23.684211,37.802198,3.7054,2.6293,False
300782,卓胜微,2026-04-24,102.7,,PASS,207,860695072.4219,原始B1,12.537363,28.384192,100.302162,90.752959,104.387083,4.803843,65.921467,3.379,1.9851,False
002001,新和成,2026-04-24,34.8,,PASS,208,860067481.5252,超卖缩量B,7.859659,43.069234,35.922598,33.6651,35.303646,100.0,26.170213,3.2839,0.1727,True
601208,东材科技,2026-04-24,34.2,,PASS,210,850360658.9747,回踩白线B,27.168653,32.371583,33.716279,31.125498,34.443333,18.394649,68.880689,3.2689,0.2051,True
